N,seed,kproj,hyper_w,hyper_M,probes,recall,qps,time_per_query
10,42,14,120,10000,500,0.17500000000000002,53.472123,0.018701333403201514
10,42,14,300,2000,100,0.09166666666666667,279.537831,0.003577333330600251
10,42,14,300,2000,250,0.09166666666666667,274.323336,0.003645333330300416
10,42,14,300,2000,500,0.09166666666666667,288.871236,0.00346174999576628
10,42,14,300,5000,100,0.13333333333333333,174.621653,0.0057266666694536445
10,42,14,300,5000,250,0.13333333333333333,144.23597,0.0069330833355923625
10,42,14,300,5000,500,0.13333333333333333,188.913902,0.005293416680366911
10,42,14,300,10000,100,0.17500000000000002,93.101201,0.01074100000063372
10,42,14,300,10000,250,0.17500000000000002,91.689844,0.01090633331211688
10,42,14,300,10000,500,0.17500000000000002,63.546532,0.015736499987127544
10,42,14,500,2000,100,0.09166666666666667,411.452083,0.002430416666525905
10,42,14,500,2000,250,0.09166666666666667,465.459059,0.002148416666652523
10,42,14,500,2000,500,0.09166666666666667,303.275374,0.003297333333764185
10,42,14,500,5000,100,0.13333333333333333,174.771704,0.005721750015093977
10,42,14,500,5000,250,0.13333333333333333,139.622554,0.007162166651098503
10,42,14,500,5000,500,0.13333333333333333,171.801626,0.0058206666798368955
10,42,14,500,10000,100,0.17500000000000002,89.47545,0.011176250021653985
10,42,14,500,10000,250,0.17500000000000002,86.039392,0.011622583293010717
10,42,14,500,10000,500,0.17500000000000002,56.279107,0.017768583286156263
10,42,14,1000,2000,100,0.09166666666666667,369.617446,0.0027054999995860586
10,42,14,1000,2000,250,0.09166666666666667,327.278678,0.0030554999980780904
10,42,14,1000,2000,500,0.09166666666666667,310.189733,0.0032238333304216746
10,42,14,1000,5000,100,0.13333333333333333,128.180478,0.007801500006888725
10,42,14,1000,5000,250,0.13333333333333333,154.110908,0.006488833353703944
10,42,14,1000,5000,500,0.13333333333333333,174.130075,0.0057428333388129535
10,42,14,1000,10000,100,0.17500000000000002,71.446858,0.013996416749355162
10,42,14,1000,10000,250,0.17500000000000002,88.218429,0.011335499978128152
10,42,14,1000,10000,500,0.17500000000000002,56.443761,0.017716749952222353
10,42,16,20,2000,100,0.09166666666666667,337.533753,0.002962666669961152
10,42,16,20,2000,250,0.09166666666666667,527.194447,0.00189683333292014
10,42,16,20,2000,500,0.09166666666666667,307.889673,0.0032479166652660024
10,42,16,20,5000,100,0.13333333333333333,154.780792,0.006460749987634125
10,42,16,20,5000,250,0.13333333333333333,153.25279,0.0065251666870143115
10,42,16,20,5000,500,0.13333333333333333,176.792975,0.005656333346955669
10,42,16,20,10000,100,0.17500000000000002,58.12095,0.017205499910101264
10,42,16,20,10000,250,0.17500000000000002,61.192021,0.01634199988263176
10,42,16,20,10000,500,0.17500000000000002,61.442989,0.0162752498905937
10,42,16,40,2000,100,0.09166666666666667,484.437447,0.0020642500000624437
10,42,16,40,2000,250,0.09166666666666667,492.065445,0.0020322499987781096
10,42,16,40,2000,500,0.09166666666666667,231.512743,0.004319416663816212
10,42,16,40,5000,100,0.13333333333333333,108.509888,0.009215749996903508
10,42,16,40,5000,250,0.13333333333333333,202.689007,0.004933666678824866
